"region","species","year","size_group_1","size_group_2","entity_1_count_mA","entity_2_count_mB","obs_cooccur_X","total_N","p_value","exp_cooccur","alpha_mle","alpha_medianInt","conf_level","ci_blaker","ci_cp","ci_midQ","ci_midP","jaccard","sorensen","simpson","errornote"
"North Sea","Agonus cataphractus","1987","3","4",14,23,9,198,"1.0779e-06",1.626,3.049,"[2.852, 3.227]",0.95,"[1.783, 4.3]","[1.706, 4.522]","[1.882, 4.297]","[1.832, 4.361]",0.321,0.486,0.643,NA
"North Sea","Agonus cataphractus","1987","3","5",14,20,8,198,"5.2495e-06",1.414,2.916,"[2.726, 3.094]",0.95,"[1.581, 4.303]","[1.564, 4.339]","[1.745, 4.131]","[1.694, 4.19]",0.308,0.471,0.571,NA
"North Sea","Agonus cataphractus","1987","4","5",23,20,10,198,"5.3798e-06",2.323,2.516,"[2.375, 2.651]",0.95,"[1.358, 3.59]","[1.356, 3.702]","[1.494, 3.554]","[1.46, 3.591]",0.303,0.465,0.5,NA
"North Sea","Agonus cataphractus","1988","1","2",17,21,10,198,"2.2976e-07",1.803,3.058,"[2.887, 3.216]",0.95,"[1.913, 4.238]","[1.8, 4.393]","[1.958, 4.207]","[1.915, 4.257]",0.357,0.526,0.588,NA
"North Sea","Agonus cataphractus","1988","1","3",17,6,3,198,"0.009",0.515,2.513,"[2.162, 2.863]",0.95,"[0.721, 4.309]","[0.415, 4.616]","[0.823, 4.205]","[0.674, 4.356]",0.15,0.261,0.5,NA
"North Sea","Agonus cataphractus","1988","1","4",17,13,7,198,"1.1812e-05",1.116,2.978,"[2.773, 3.173]",0.95,"[1.715, 4.415]","[1.552, 4.461]","[1.752, 4.239]","[1.693, 4.304]",0.304,0.467,0.538,NA
"North Sea","Agonus cataphractus","1988","1","5",17,11,5,198,"9e-04",0.944,2.47,"[2.252, 2.69]",0.95,"[1.136, 3.986]","[0.909, 4.001]","[1.152, 3.77]","[1.078, 3.841]",0.217,0.357,0.455,NA
"North Sea","Agonus cataphractus","1988","2","3",21,6,3,198,"0.0168",0.636,2.246,"[1.902, 2.59]",0.95,"[0.47, 4.024]","[0.165, 4.33]","[0.568, 3.926]","[0.422, 4.072]",0.125,0.222,0.5,NA
"North Sea","Agonus cataphractus","1988","2","4",21,13,8,198,"3.7598e-06",1.379,3.017,"[2.811, 3.204]",0.95,"[1.632, 4.295]","[1.627, 4.52]","[1.815, 4.288]","[1.76, 4.355]",0.308,0.471,0.615,NA
"North Sea","Agonus cataphractus","1988","2","5",21,11,6,198,"2e-04",1.167,2.594,"[2.378, 2.801]",0.95,"[1.163, 3.911]","[1.105, 4.139]","[1.323, 3.898]","[1.258, 3.97]",0.231,0.375,0.545,NA
