"","pair_id","region","species","yearqua","pair_id_x","cpue_length_intersect_yearqua_x","cpue_length_yearqua_x","range_size_x","num_intersect","num_union","pair_id_y","cpue_length_intersect_yearqua_y","cpue_length_yearqua_y","range_size_y","prop_cpue_intersect_x","prop_cpue_intersect_y","area_overlap","overlap_abun_weighted","mean_intersect","mean_union","mean_oa","mean_ow"
"16182","4","Scottish West Coast","Sprattus sprattus",1998.1,1,779.5,779.5,11,11,28,5,475.333,1039.333,28,1,0.45734427753184,0.392857142857143,0.676272339765453,15.7,25.9,0.603111936095444,0.904212835775863
"16183","4","Scottish West Coast","Sprattus sprattus",1999.1,1,5015.81,5030.81,18,16,25,5,1050.049,1896.049,23,0.997018372786887,0.553808999661929,0.64,0.743073177875282,18.7,24.5,0.764321627647715,0.858350876278621
"16184","4","Scottish West Coast","Sprattus sprattus",2000.1,1,2105.433,2105.433,17,17,25,5,233.834,335.834,25,1,0.696278518553809,0.68,0.83443305217004,22.1,29.9,0.736653924300476,0.928265761018498
"16185","4","Scottish West Coast","Sprattus sprattus",2001.1,1,3688.167,3688.167,12,12,29,5,2327.333,14047.333,29,1,0.165677926194246,0.413793103448276,0.407035534313954,17.9,29.3,0.602285084678021,0.877623986530475
"16186","4","Scottish West Coast","Sprattus sprattus",2002.1,1,2387.333,2395.333,19,18,25,5,417,453,24,0.996660172092983,0.920529801324503,0.72,0.957838916626798,19.4,25,0.775294871794872,0.978591936255858
"16187","4","Scottish West Coast","Sprattus sprattus",2003.1,1,7661,7784,17,13,29,5,417,1639,25,0.984198355601233,0.254423428920073,0.448275862068966,0.500402957994418,18.6,27.4,0.680988681483434,0.879878244047573
"16188","4","Scottish West Coast","Sprattus sprattus",2004.1,1,657.166,657.166,11,11,25,5,160.333,5620.333,25,1,0.0285273132392689,0.44,0.168900305622189,14.8,24,0.613923035570094,0.566548507344027
"16189","4","Scottish West Coast","Sprattus sprattus",2005.1,1,1897,11221,14,5,21,5,210,441,12,0.169058016219588,0.476190476190476,0.238095238095238,0.283731946117146,11.2,20.8,0.545447346957644,0.758927556456154
"16190","4","Scottish West Coast","Sprattus sprattus",2006.1,1,162,7545,11,3,16,5,35,520,8,0.0214711729622266,0.0673076923076923,0.1875,0.0380154587401861,8.8,16.4,0.542376822523881,0.694328380928359
"16191","4","Scottish West Coast","Sprattus sprattus",2007.1,1,5,39,6,1,12,5,1,89.233,7,0.128205128205128,0.0112066163863145,0.0833333333333333,0.0379044283765517,4.4,12.4,0.374124209124209,0.562872058119341
"16192","4","Scottish West Coast","Sprattus sprattus",2008.1,1,24,46,4,1,11,5,6,752.667,8,0.521739130434783,0.00797165280263383,0.0909090909090909,0.064491264535394,3.9,10.1,0.408658008658009,0.686569979251901
"16193","4","Scottish West Coast","Sprattus sprattus",2009.1,1,976,3652,3,1,7,5,2,50,5,0.267250821467689,0.04,0.142857142857143,0.103392615107209,2.5,6.3,0.403690476190476,0.68371496599692
"16194","4","Scottish West Coast","Sprattus sprattus",2010.1,1,34,362,8,4,12,5,516,539,8,0.0939226519337017,0.957328385899815,0.333333333333333,0.299858001019017,7.4,13,0.572317682317682,0.859211650608535
"16195","5","Scottish West Coast","Sprattus sprattus",1985.1,2,29.25,67.083,14,8,14,3,20.25,20.25,8,0.436027011314342,1,0.571428571428571,0.660323414180008,7.7,12.3,0.638721278721279,0.805475565750581
"16196","5","Scottish West Coast","Sprattus sprattus",1986.1,2,412.333,412.833,8,7,15,3,206.667,273.667,14,0.998788856510986,0.755176912086587,0.466666666666667,0.86848274852553,7.7,17.1,0.436480785296575,0.654267710679593
"16197","5","Scottish West Coast","Sprattus sprattus",1987.1,2,108.75,137.75,10,5,12,3,57,62,7,0.789473684210526,0.919354838709677,0.416666666666667,0.851942751370597,7.6,17.6,0.431755525176578,0.728674892691347
"16198","5","Scottish West Coast","Sprattus sprattus",1988.1,2,155.95,155.95,6,6,8,3,830.9,914.9,8,1,0.908186687069625,0.75,0.952988293248991,5.4,11.4,0.465201465201465,0.646765067520182
"16199","5","Scottish West Coast","Sprattus sprattus",1989.1,2,27,38,8,6,10,3,63.5,102.5,8,0.710526315789474,0.619512195121951,0.6,0.663460411469026,6,14,0.419473254213966,0.743010680211876
"16200","5","Scottish West Coast","Sprattus sprattus",1990.1,2,86.167,90.167,11,7,12,3,14.5,15.5,8,0.955637871948717,0.935483870967742,0.583333333333333,0.945507173792966,8,16,0.508142414860681,0.731992496760057
"16201","5","Scottish West Coast","Sprattus sprattus",1991.1,2,783.286,877.286,15,13,15,3,261.286,261.286,13,0.892851362041569,1,0.866666666666667,0.94490812359804,9.9,15.3,0.643511904761905,0.79962036670493
"16202","5","Scottish West Coast","Sprattus sprattus",1992.1,2,410.333,413.533,10,9,11,3,274.167,277.167,10,0.992261802564729,0.989176200629945,0.818181818181818,0.990717800330245,7.7,13.5,0.582524142524143,0.855326054209237
"16203","5","Scottish West Coast","Sprattus sprattus",1993.1,2,3117.25,3117.25,12,12,15,3,1979.5,2035.5,15,1,0.972488332105134,0.8,0.986148230290525,10.5,16.7,0.620123045169485,0.77496919876382
"16204","5","Scottish West Coast","Sprattus sprattus",1994.1,2,240.167,369.167,20,13,25,3,132.5,148.5,18,0.650564649603025,0.892255892255892,0.52,0.76188591134217,14.1,22.7,0.61853634085213,0.707102348325242
"16205","5","Scottish West Coast","Sprattus sprattus",1995.1,2,247,247,7,7,9,3,121,304,9,1,0.398026315789474,0.777777777777778,0.630893268144045,7.2,12.4,0.586431623931624,0.557506552761886
"16206","5","Scottish West Coast","Sprattus sprattus",1996.1,2,551,555,18,15,19,3,536.75,538.75,16,0.992792792792793,0.996287703016241,0.789473684210526,0.994538712721939,13.3,21.9,0.604095783518317,0.62752993817537
"16207","5","Scottish West Coast","Sprattus sprattus",1997.1,2,5732.166,5771.166,27,24,29,3,1752.333,1758.833,26,0.99324226681402,0.996304367725645,0.827586206896552,0.994772139053225,22.2,32.6,0.678177232578855,0.694932495095395
"16208","5","Scottish West Coast","Sprattus sprattus",1998.1,2,765,787,18,15,23,3,1022.667,1047.667,20,0.972045743329098,0.976137455890087,0.652173913043478,0.974089451180976,15.7,25.9,0.603111936095444,0.904212835775863
